"slug","symbol","date","open","close","market_cap","rank","ret","cum_ret","log_ret","cum_log_ret","Code","market_cap_category"
"alethea-artificial-liquid-intelligence-token","ALI",2023-01-19,0.03,0.03,51720829.9,518,0,1.05,0,0.71,"PB2024","Under 100M"
"metal","MTL",2022-12-09,0.75,0.75,49868695.07,406,0,-0.72,0,-1.46,"PB2024","Under 50M"
"maga","TRUMP",2023-10-28,0.05,0.05,0,260,0,36.84,0,3.64,"PB2024","Under 50M"
"statter-network","STT",2024-02-01,1.13,1.08,54503227.83,597,-0.04,-0.32,-0.05,-0.33,"PB2024","Under 100M"
"zcash","ZEC",2018-04-16,232.43,225.46,838023158.7,173,-0.03,-0.9,-0.03,-2.14,"CW2016","Under 1B"
"dodo","DODO",2023-02-05,0.15,0.16,70555589.48,414,0.07,-0.66,0.06,-1,"PB2024","Under 100M"
"clash-of-lilliput","COL",2023-03-23,0.58,0.6,48926373.23,548,0.03,-0.13,0.03,-0.13,"PB2024","Under 50M"
"arpa-chain","ARPA",2021-06-07,0.05,0.04,48456794.99,472,-0.2,56.11,-0.22,4.06,"CW2020","Under 50M"
"pivx","PIVX",2021-06-30,0.56,0.57,37413384.7,751,0.02,90.32,0.02,4.75,"CW2020","Under 50M"
"singularitynet","AGIX",2020-09-02,0.06,0.06,47870398.1,74,0,-0.41,0,-0.47,"BR2020","Under 50M"
"beldex","BDX",2023-05-04,0.05,0.05,196408862,256,0,0.19,0,0.09,"PB2024","Under 500M"
"ontology-gas","ONG",2022-12-06,0.26,0.26,84562033.23,257,0,-0.87,0,-1.91,"PB2024","Under 100M"
"wanchain","WAN",2018-09-11,0.91,0.81,85671961.47,593,-0.11,-0.79,-0.12,-1.58,"CW2016","Under 100M"
"aioz-network","AIOZ",2022-08-01,0.07,0.07,42528178.18,106,0,-0.97,0,-3.55,"CW2020","Under 50M"
"band-protocol","BAND",2023-11-28,1.4,1.41,191809557.3,271,0.01,0.75,0.01,0.51,"PB2024","Under 500M"
"aventus","AVT",2023-03-23,1.16,1.14,6821588.65,830,-0.02,-0.56,-0.02,-0.66,"PB2024","Under 50M"
"cannation","BTCP",2018-04-28,0.03,0.03,84848.44,552,0,409.88,0,6.11,"CW2016","Under 50M"
"samoyedcoin","SAMO",2021-10-27,0.08,0.12,327678102.2,765,0.5,4.97,0.41,1.79,"BR2020","Under 500M"
